location,Basel
lat,47.54694
lon,7.56892
asl,283.697
variable,Temperature
unit,°C
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Basel Temperature [2 m elevation corrected]
20100126T2200,-1.5794713
20100126T2300,-1.5294713
20100127T0000,-2.4594715
20100127T0100,-2.8294713
20100127T0200,-3.2994714
20100127T0300,-3.6294715
20100127T0400,-3.8594716
20100127T0500,-4.1894712
20100127T0600,-3.9594715
20100127T0700,-4.2594714
20100127T0800,-4.5294714
20100127T0900,-5.1494713
20100127T1000,-4.7694716
20100127T1100,-3.3994715
20100127T1200,-1.0194713
20100127T1300,0.37052867
20100127T1400,0.90052867
20100127T1500,-0.029471342
20100127T1600,0.7105287
20100127T1700,1.0805286
20100127T1800,0.28052866
20100127T1900,-0.29947135
20100127T2000,-0.41947132
20100127T2100,-0.28947133
20100127T2200,-0.23947135
20100127T2300,0.09052865
20100128T0000,-0.039471343
20100128T0100,0.27052864
20100128T0200,0.31052867
20100128T0300,0.44052866
20100128T0400,0.34052867
20100128T0500,-0.12947133
20100128T0600,-0.7294713
20100128T0700,-0.65947133
20100128T0800,-1.9594713
20100128T0900,-1.6994714
20100128T1000,-1.3694713
20100128T1100,-1.1794714
20100128T1200,-0.8094713
20100128T1300,-0.14947134
20100128T1400,0.010528658
20100128T1500,0.7505287
20100128T1600,1.2105286
20100128T1700,1.6105287
20100128T1800,1.5405287
20100128T1900,0.67052865
20100128T2000,0.81052864
20100128T2100,0.60052866
20100128T2200,1.4705287
20100128T2300,1.3605287
20100129T0000,1.2705287
20100129T0100,1.0005287
20100129T0200,1.0605286
20100129T0300,1.2205287
20100129T0400,1.3105286
20100129T0500,1.5905286
20100129T0600,0.79052866
20100129T0700,0.66052866
20100129T0800,1.2205287
20100129T0900,1.4505286
20100129T1000,1.7805287
20100129T1100,2.5005286
20100129T1200,3.2405286
20100129T1300,3.3205285
20100129T1400,3.4405286
20100129T1500,3.7005286
20100129T1600,4.5805287
20100129T1700,3.6605287
20100129T1800,2.7205286
20100129T1900,2.6105285
20100129T2000,2.8905284
20100129T2100,3.2305286
20100129T2200,3.1805286
20100129T2300,3.2705286
20100130T0000,1.6705287
20100130T0100,0.22052866
20100130T0200,0.25052866
20100130T0300,0.7505287
20100130T0400,0.32052866
20100130T0500,-0.7494713
20100130T0600,0.31052867
20100130T0700,-0.9294713
20100130T0800,-0.8094713
20100130T0900,-1.4294714
20100130T1000,-1.3794713
20100130T1100,-0.39947134
20100130T1200,0.36052868
20100130T1300,0.66052866
20100130T1400,0.87052864
20100130T1500,0.67052865
20100130T1600,0.31052867
20100130T1700,0.24052864
20100130T1800,-0.6094713
20100130T1900,-1.2694713
20100130T2000,-1.2194713
20100130T2100,-2.5594714
20100130T2200,-2.9294715
20100130T2300,-3.0494714
20100131T0000,-2.2494714
20100131T0100,-2.2894714
20100131T0200,-4.3494716
20100131T0300,-4.6194715
20100131T0400,-5.2894716
20100131T0500,-5.1494713
20100131T0600,-3.8894715
20100131T0700,-4.2294717
20100131T0800,-4.0294714
20100131T0900,-3.7094715
20100131T1000,-3.4594715
20100131T1100,-2.7194715
20100131T1200,-0.71947134
20100131T1300,0.65052867
20100131T1400,1.4205287
20100131T1500,1.4605286
20100131T1600,1.3605287
20100131T1700,0.9605287
20100131T1800,0.5805287
20100131T1900,-0.13947135
20100131T2000,-1.0694714
20100131T2100,-2.2694714
20100131T2200,-3.0994716
20100131T2300,-3.5594714
20100201T0000,-3.8594716
20100201T0100,-4.4094715
20100201T0200,-4.7494717
20100201T0300,-4.8494716
20100201T0400,-5.0094714
20100201T0500,-5.1594715
20100201T0600,-4.0694714
20100201T0700,-4.3894715
20100201T0800,-4.8894715
20100201T0900,-5.2894716
